Response ID,DOB,Gender,Employment Duration,Industry,Profession,No of Employees in organization,Has children,Location,Weekly Remote work time(in %),Preferred weekly Remote work time(in %),Yearly Remote work time(in %),Preferred Yearly Remote work time(in %),Preferred Remote work time post Covid
368,1970,Female,Between 1 and 5 years,Retail Trade,Sales workers - Sales Support Workers,Self employed,Yes,Metro,100,100,100,100,100
369,1991,Female,More than 5 years,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",20-199,No,Metro,100,100,90,80,70
370,1993,Female,Less than 1 year,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",20-199,No,Metro,20,20,30,40,30
371,1969,Female,More than 5 years,Public Administration and Safety,Clerical and administrative workers - Personal Assistants and Secretaries,More than 200,Yes,Metro,5,20,5,10,5
372,1995,Female,Between 1 and 5 years,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,More than 200,No,Metro,0,100,100,70,90
373,1983,Female,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",5-19,Yes,Metro,50,50,50,50,20
374,1972,Female,More than 5 years,Other Services,Clerical and administrative workers - Clerical and Office Support Workers,20-199,No,Metro,100,100,90,100,100
375,1962,Male,More than 5 years,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",5-19,Yes,Metro,100,0,100,0,0
376,1965,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,1-4,Yes,Metro,20,20,20,20,20
377,1981,Female,Between 1 and 5 years,Other Services,Professionals - ICT Professionals,More than 200,No,Metro,100,90,90,100,100
378,1985,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,5-19,Yes,Metro,60,70,60,70,70
379,1985,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,20-199,No,Metro,90,90,100,100,60
380,1963,Male,More than 5 years,"Transport, Postal and Warehousing",Sales workers - Sales Representatives and Agents,More than 200,No,Metro,60,40,60,40,20
381,1994,Female,Between 1 and 5 years,"Transport, Postal and Warehousing",Clerical and administrative workers - Clerical and Office Support Workers,20-199,Yes,Metro,100,100,0,50,50
382,1992,Female,Between 1 and 5 years,Retail Trade,Professionals - ICT Professionals,20-199,No,Metro,100,100,90,100,100
383,1971,Male,Between 1 and 5 years,Retail Trade,Managers - Specialist Managers,More than 200,Yes,Metro,50,60,50,60,50
384,1970,Female,More than 5 years,"Rental, Hiring and Real Estate",Managers - Specialist Managers,20-199,No,Metro,70,70,80,70,70
385,1959,Male,Less than 1 year,Information Media and Telecommunications,Technicians and trades workers - Electrotechnology and Telecommunications Trades Workers,More than 200,Yes,Metro,5,5,5,5,5
386,2000,Female,Between 1 and 5 years,Other Services,Clerical and administrative workers - General Clerical Workers,1-4,Yes,Metro,30,30,10,40,40
387,1974,Female,Between 1 and 5 years,Wholesale Trade,Clerical and administrative workers - Personal Assistants and Secretaries,20-199,Yes,Metro,80,100,50,100,80
388,1959,Male,More than 5 years,Construction,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Metro,50,50,20,10,5
389,1983,Female,Between 1 and 5 years,Retail Trade,Sales workers - Sales Representatives and Agents,More than 200,No,Metro,50,50,50,50,80
390,1975,Male,More than 5 years,Financial and Insurance,"Technicians and trades workers - Engineering, ICT and Science Technicians",More than 200,No,Metro,100,100,70,70,70
391,1971,Male,Between 1 and 5 years,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Metro,70,100,40,100,70
392,1972,Female,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,1-4,Yes,Metro,100,100,100,100,100
393,1965,Male,Between 1 and 5 years,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Metro,100,5,90,5,5
394,1973,Male,More than 5 years,Public Administration and Safety,Managers - Specialist Managers,20-199,Yes,Metro,30,30,40,40,60
395,1974,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,Metro,60,50,50,30,40
396,1968,Female,More than 5 years,Education and Training,Professionals - Education Professionals,More than 200,Yes,Regional,100,20,50,20,20
397,1982,Female,Between 1 and 5 years,Manufacturing,Managers - Specialist Managers,20-199,No,Metro,50,40,30,30,30
398,1999,Male,Less than 1 year,Construction,"Professionals - Design, Engineering, Science and Transport Professionals",20-199,No,Metro,60,50,30,30,70
399,1982,Female,More than 5 years,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",More than 200,No,Metro,100,100,100,100,100
400,1985,Male,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Metro,20,30,5,30,20
401,1975,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,5-19,No,Metro,50,40,50,30,40
402,1971,Male,More than 5 years,Health Care and Social Assistance,Managers - Specialist Managers,More than 200,Yes,Metro,100,100,100,100,90
403,1976,Female,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",5-19,Yes,Metro,90,100,80,90,90
404,1959,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",20-199,Yes,Metro,100,100,100,100,100
405,1978,Male,Between 1 and 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Regional,20,30,30,50,40
406,1967,Female,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals - ICT Professionals,20-199,No,Metro,80,60,80,60,70
407,1976,Female,Between 1 and 5 years,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",20-199,No,Regional,40,50,40,50,50
408,2000,Male,Less than 1 year,Mining,"Technicians and trades workers - Engineering, ICT and Science Technicians",20-199,Yes,Metro,50,50,50,40,50
409,1991,Male,Between 1 and 5 years,Information Media and Telecommunications,Managers - Specialist Managers,20-199,No,Metro,90,90,90,100,70
410,1998,Female,Between 1 and 5 years,Construction,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Regional,70,90,30,30,20
411,1980,Male,More than 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,20-199,No,Metro,100,100,0,40,40
412,1962,Female,More than 5 years,Education and Training,Professionals - Education Professionals,20-199,Yes,Regional,5,90,5,90,90
413,1982,Female,More than 5 years,"Transport, Postal and Warehousing",Managers - Specialist Managers,More than 200,Yes,Metro,5,5,5,30,30
414,1990,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,20-199,No,Metro,30,30,50,30,30
415,1999,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",More than 200,Yes,Metro,80,90,60,80,20
416,1977,Female,Between 1 and 5 years,Education and Training,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,Yes,Regional,0,5,0,0,0
417,1957,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,More than 200,No,Metro,100,100,100,100,90
418,1972,Male,Between 1 and 5 years,"Transport, Postal and Warehousing","Professionals - Business, Human Resource and Marketing Professionals",20-199,Yes,Regional,0,5,0,5,10
419,1960,Female,More than 5 years,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,1-4,No,Regional,100,100,100,100,70
420,1978,Female,Between 1 and 5 years,Financial and Insurance,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,No,Metro,100,100,100,100,100
421,1986,Female,Less than 1 year,Education and Training,Managers - Specialist Managers,More than 200,Yes,Metro,70,80,60,100,80
422,1985,Female,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",20-199,No,Metro,90,90,80,90,80
423,1980,Male,More than 5 years,Other Services,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Metro,100,30,30,20,20
424,1974,Female,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,20-199,Yes,Metro,30,10,20,5,5
425,1975,Male,Between 1 and 5 years,Construction,Technicians and trades workers - Construction Trades Workers,Self employed,No,Regional,20,20,20,20,20
426,1970,Female,Between 1 and 5 years,Other Services,Professionals - Health Professionals,5-19,No,Metro,80,60,50,60,60
427,1993,Female,Less than 1 year,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,No,Metro,20,30,30,40,30
428,1976,Male,More than 5 years,Information Media and Telecommunications,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Yes,Metro,80,80,80,80,80
429,1999,Female,Less than 1 year,Wholesale Trade,Machinery operators and drivers - Mobile Plant Operators,More than 200,Yes,Metro,70,20,20,60,20
430,1978,Male,More than 5 years,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,No,Metro,100,100,100,100,100
431,1985,Female,More than 5 years,Health Care and Social Assistance,"Professionals - Legal, Social and Welfare Professionals",More than 200,Yes,Metro,60,90,70,90,30
432,1971,Female,Between 1 and 5 years,Construction,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Metro,30,30,40,40,50
433,1982,Male,Between 1 and 5 years,"Transport, Postal and Warehousing",Machinery operators and drivers - Road and Rail Drivers,20-199,No,Metro,100,100,100,100,100
434,1972,Female,Between 1 and 5 years,Manufacturing,Clerical and administrative workers - Office Managers and Program Administrators,5-19,Yes,Metro,60,50,40,40,50
435,1991,Female,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals - Arts and Media Professionals,More than 200,No,Metro,0,0,0,0,5
436,1977,Male,Between 1 and 5 years,Health Care and Social Assistance,Professionals - ICT Professionals,More than 200,Yes,Metro,100,20,100,100,80
437,1981,Male,Less than 1 year,Retail Trade,Technicians and trades workers - Food Trades Workers,5-19,Yes,Metro,30,40,40,50,20
438,1982,Female,More than 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,20-199,Yes,Metro,50,50,50,50,50
439,1986,Male,More than 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Yes,Metro,80,70,60,80,70
440,1990,Female,Less than 1 year,Arts and Recreation,Machinery operators and drivers - Road and Rail Drivers,5-19,Yes,Metro,80,5,5,40,80
441,1990,Female,Less than 1 year,Other Services,Clerical and administrative workers - General Clerical Workers,20-199,Yes,Regional,100,100,100,100,100
442,1984,Male,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Metro,50,40,30,30,50
443,1995,Female,Between 1 and 5 years,Retail Trade,Clerical and administrative workers - Clerical and Office Support Workers,20-199,Yes,Metro,100,100,80,100,50
444,1985,Male,Between 1 and 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Metro,30,30,30,30,20
445,1991,Male,Between 1 and 5 years,Administrative and Support,Sales workers - Sales Representatives and Agents,More than 200,No,Metro,40,100,5,40,20
446,1983,Male,More than 5 years,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,Metro,100,100,80,100,100
447,1980,Female,Between 1 and 5 years,Health Care and Social Assistance,Professionals - Health Professionals,5-19,Yes,Regional,30,20,20,20,20
448,1996,Female,Between 1 and 5 years,Other Services,Clerical and administrative workers - General Clerical Workers,20-199,No,Metro,60,70,40,30,80
449,1977,Male,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,More than 200,Yes,Metro,30,5,5,100,100
450,1977,Male,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Metro,20,20,20,20,20
451,1982,Male,Between 1 and 5 years,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",5-19,Yes,Regional,5,5,5,5,5
452,1957,Female,More than 5 years,Health Care and Social Assistance,Professionals - Health Professionals,More than 200,No,Regional,20,0,0,50,50
453,1982,Male,More than 5 years,Construction,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Metro,50,40,10,20,0
454,1983,Male,Between 1 and 5 years,Wholesale Trade,Managers - Specialist Managers,20-199,Yes,Regional,20,30,20,30,20
455,1962,Male,More than 5 years,Mining,"Managers - Chief Executives, General Managers and Legislators",5-19,Yes,Metro,100,50,100,5,50
456,1972,Female,More than 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,Yes,Metro,100,100,100,100,100
457,1985,Male,Between 1 and 5 years,Construction,"Managers - Chief Executives, General Managers and Legislators",More than 200,No,Metro,30,70,20,70,70
458,1983,Female,Between 1 and 5 years,Financial and Insurance,Managers - Specialist Managers,20-199,Yes,Metro,60,50,20,40,40
459,1975,Female,Between 1 and 5 years,Other Services,"Labourers - Farm, Forestry and Garden Workers",1-4,Yes,Regional,100,100,20,20,20
460,1963,Female,More than 5 years,Public Administration and Safety,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,No,Metro,100,100,100,100,100
461,1986,Female,Between 1 and 5 years,Public Administration and Safety,Managers - Specialist Managers,More than 200,Yes,Regional,50,50,5,40,40
462,1993,Female,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,More than 200,No,Metro,0,0,0,0,0
463,1995,Female,Between 1 and 5 years,Health Care and Social Assistance,Technicians and trades workers - Other Technicians and Trades Workers,More than 200,Yes,Metro,20,50,10,50,50
464,1991,Female,Between 1 and 5 years,Construction,Managers - Specialist Managers,20-199,No,Metro,20,50,0,50,50
465,1994,Female,Less than 1 year,Financial and Insurance,Managers - Specialist Managers,20-199,No,Metro,10,10,20,5,5
466,1974,Male,More than 5 years,Public Administration and Safety,Managers - Specialist Managers,More than 200,No,Metro,100,40,30,40,5
467,1979,Female,Less than 1 year,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Metro,90,80,80,80,70
468,1988,Male,More than 5 years,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",Self employed,No,Regional,100,100,100,100,100
469,1980,Male,More than 5 years,Construction,Labourers - Construction and Mining Labourers,1-4,No,Metro,100,100,100,100,100
470,1989,Female,Between 1 and 5 years,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,No,Regional,50,50,50,50,30
471,1983,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",20-199,Yes,Regional,80,50,30,40,50
472,1977,Female,More than 5 years,Arts and Recreation,Professionals - Arts and Media Professionals,1-4,Yes,Regional,100,100,100,100,100
473,1988,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,20-199,Yes,Metro,40,40,60,30,40
474,1968,Male,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,More than 200,No,Metro,0,100,0,100,100
475,1996,Male,Between 1 and 5 years,Other Services,Managers - Specialist Managers,20-199,No,Metro,30,50,40,60,60
476,1980,Female,Between 1 and 5 years,Financial and Insurance,Professionals - ICT Professionals,More than 200,Yes,Metro,50,50,50,50,20
477,1987,Male,Less than 1 year,Information Media and Telecommunications,Professionals - ICT Professionals,5-19,Yes,Metro,40,40,40,40,50
478,1983,Male,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Metro,90,100,80,100,80
479,1972,Male,Between 1 and 5 years,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,Metro,50,40,30,50,60
480,1984,Female,Less than 1 year,Education and Training,Clerical and administrative workers - General Clerical Workers,20-199,Yes,Metro,90,90,90,90,50
481,1961,Male,More than 5 years,Public Administration and Safety,Technicians and trades workers - Skilled Animal and Horticultural Workers,More than 200,Yes,Regional,0,5,10,5,5
482,1984,Female,Between 1 and 5 years,Health Care and Social Assistance,Professionals - Health Professionals,More than 200,Yes,Metro,10,30,60,50,40
483,1985,Male,Between 1 and 5 years,"Transport, Postal and Warehousing","Professionals - Business, Human Resource and Marketing Professionals",Self employed,Yes,Metro,50,60,30,80,60
484,1984,Male,Less than 1 year,Administrative and Support,Community and personal service workers - Hospitality Workers,Self employed,Yes,Metro,30,50,50,40,30
485,1991,Female,More than 5 years,Information Media and Telecommunications,Clerical and administrative workers - General Clerical Workers,More than 200,Yes,Metro,100,100,100,100,80
486,1982,Male,Less than 1 year,"Electricity, Gas, Water and Waste","Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Regional,100,90,90,90,80
487,1989,Female,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,More than 200,No,Metro,80,100,80,100,100
488,1971,Male,Between 1 and 5 years,Retail Trade,Managers - Specialist Managers,More than 200,Yes,Metro,50,40,50,30,40
489,1968,Female,Less than 1 year,"Electricity, Gas, Water and Waste",Clerical and administrative workers - General Clerical Workers,More than 200,No,Metro,5,5,10,20,20
490,1992,Female,More than 5 years,Arts and Recreation,Professionals - Arts and Media Professionals,Self employed,No,Metro,40,50,20,30,40
491,1957,Female,More than 5 years,Health Care and Social Assistance,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,No,Regional,90,90,90,90,90
492,1966,Female,More than 5 years,Other Services,Professionals - Health Professionals,More than 200,Yes,Metro,5,20,20,50,20
493,1972,Male,Between 1 and 5 years,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,Yes,Metro,50,40,40,50,60
494,1981,Female,Between 1 and 5 years,Information Media and Telecommunications,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Metro,100,100,100,100,100
495,1980,Male,More than 5 years,Mining,Managers - Specialist Managers,5-19,Yes,Metro,40,30,30,30,20
496,1981,Female,Between 1 and 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Metro,10,5,5,5,5
497,1990,Female,More than 5 years,Accommodation and Food,Clerical and administrative workers - Office Managers and Program Administrators,More than 200,Yes,Metro,10,20,10,10,5
498,1969,Male,More than 5 years,Education and Training,Professionals - Education Professionals,More than 200,Yes,Metro,0,20,0,20,20
499,1981,Female,Between 1 and 5 years,Information Media and Telecommunications,"Professionals - Design, Engineering, Science and Transport Professionals",20-199,Yes,Metro,100,100,80,100,90
500,2001,Male,Less than 1 year,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,No,Metro,70,50,20,30,20
501,1973,Female,More than 5 years,Arts and Recreation,Clerical and administrative workers - Other Clerical and Administrative Workers,5-19,No,Metro,0,0,0,0,20
502,1989,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Metro,100,100,100,100,100
503,1978,Female,More than 5 years,Education and Training,Professionals - Education Professionals,20-199,Yes,Metro,20,80,10,70,80
504,1985,Female,More than 5 years,Public Administration and Safety,Professionals - Health Professionals,20-199,No,Metro,80,80,70,70,50
505,1996,Female,Less than 1 year,Construction,Sales workers - Sales Representatives and Agents,Self employed,Yes,Regional,40,40,50,10,30
506,1969,Male,More than 5 years,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Metro,5,0,5,5,5
507,1977,Male,Between 1 and 5 years,Health Care and Social Assistance,Professionals - ICT Professionals,More than 200,Yes,Metro,80,60,100,90,80
508,1995,Female,Between 1 and 5 years,Information Media and Telecommunications,Managers - Specialist Managers,20-199,No,Metro,70,60,60,60,50
509,1989,Male,Between 1 and 5 years,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",5-19,Yes,Metro,40,50,30,40,40
510,1984,Female,More than 5 years,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",Self employed,Yes,Regional,30,30,40,50,50
511,1971,Female,Between 1 and 5 years,"Electricity, Gas, Water and Waste","Managers - Chief Executives, General Managers and Legislators",1-4,Yes,Regional,90,80,50,90,90
512,1992,Female,More than 5 years,"Electricity, Gas, Water and Waste",Labourers - Factory Process Workers,1-4,No,Metro,40,40,40,60,20
513,1985,Male,Between 1 and 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Metro,20,30,30,30,10
514,1967,Female,More than 5 years,Education and Training,Professionals - Education Professionals,More than 200,Yes,Metro,80,100,90,100,100
515,1988,Female,Between 1 and 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",20-199,Yes,Metro,5,100,5,5,50
516,1957,Female,More than 5 years,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,No,Metro,100,100,100,100,100
517,1980,Female,More than 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Metro,0,80,80,80,70
518,1983,Male,Between 1 and 5 years,Retail Trade,Managers - Specialist Managers,20-199,Yes,Regional,20,50,30,50,50
519,1994,Female,Between 1 and 5 years,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,20-199,Yes,Metro,100,100,20,100,50
520,1995,Male,Between 1 and 5 years,Wholesale Trade,Community and personal service workers - Carers and Aides,More than 200,No,Metro,50,50,90,40,30
521,1962,Female,Less than 1 year,"Transport, Postal and Warehousing",Professionals - ICT Professionals,More than 200,No,Metro,80,80,80,80,40
522,1982,Male,Between 1 and 5 years,Retail Trade,"Professionals - Legal, Social and Welfare Professionals",20-199,Yes,Regional,60,60,40,60,60
523,1977,Female,More than 5 years,Manufacturing,"Technicians and trades workers - Engineering, ICT and Science Technicians",5-19,Yes,Metro,50,50,50,50,50
524,1971,Female,Between 1 and 5 years,Retail Trade,Sales workers - Sales Representatives and Agents,More than 200,Yes,Metro,100,100,90,100,100
525,1974,Female,Between 1 and 5 years,Administrative and Support,"Professionals - Business, Human Resource and Marketing Professionals",20-199,Yes,Metro,50,50,30,50,60
526,1990,Male,Less than 1 year,Information Media and Telecommunications,Managers - Specialist Managers,20-199,No,Metro,40,10,10,0,5
527,1995,Female,Less than 1 year,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Metro,20,50,20,50,50
528,1977,Female,More than 5 years,Health Care and Social Assistance,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,No,Metro,20,0,0,0,0
529,1978,Female,More than 5 years,Health Care and Social Assistance,Managers - Specialist Managers,More than 200,Yes,Metro,10,5,5,20,50
530,1976,Male,Between 1 and 5 years,Other Services,Technicians and trades workers - Electrotechnology and Telecommunications Trades Workers,5-19,No,Metro,90,90,90,90,90
531,2002,Female,Less than 1 year,Accommodation and Food,"Managers - Chief Executives, General Managers and Legislators",1-4,Yes,Regional,5,20,20,20,30
532,1985,Male,Less than 1 year,"Professional, Scientific and Technical",Managers - Specialist Managers,20-199,Yes,Metro,80,90,80,90,60
533,1975,Male,More than 5 years,Mining,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Regional,20,80,20,80,60
534,1969,Male,More than 5 years,"Agriculture, Forestry and Fishing","Managers - Chief Executives, General Managers and Legislators",Self employed,No,Metro,50,50,10,0,5
535,1980,Female,Less than 1 year,Education and Training,Professionals - Education Professionals,20-199,Yes,Metro,40,50,50,50,50
536,1959,Male,More than 5 years,"Professional, Scientific and Technical",Managers - Specialist Managers,Self employed,Yes,Metro,100,100,100,100,100
537,1976,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,5-19,Yes,Metro,20,20,20,20,20
538,1981,Male,Between 1 and 5 years,Administrative and Support,"Professionals - Legal, Social and Welfare Professionals",More than 200,Yes,Metro,10,5,5,5,5
539,1990,Female,More than 5 years,Information Media and Telecommunications,Sales workers - Sales Representatives and Agents,More than 200,Yes,Metro,40,40,40,40,40
540,1978,Male,More than 5 years,Public Administration and Safety,Professionals - ICT Professionals,More than 200,Yes,Metro,100,100,100,100,100
541,1996,Female,Between 1 and 5 years,Education and Training,Sales workers - Sales Assistants and Salespersons,Self employed,No,Metro,80,80,70,80,70
542,1991,Female,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,20-199,No,Metro,40,40,40,40,60
543,1984,Female,More than 5 years,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",5-19,No,Metro,10,50,5,50,50
544,1996,I would rather not say,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals - ICT Professionals,More than 200,No,Metro,90,90,80,90,90
545,1989,Female,Between 1 and 5 years,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,More than 200,No,Regional,100,100,90,90,60
546,1990,Male,More than 5 years,"Rental, Hiring and Real Estate","Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Metro,40,40,60,60,30
547,1986,Male,Between 1 and 5 years,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Regional,40,40,40,40,30
548,2000,Female,Less than 1 year,Wholesale Trade,Professionals - Health Professionals,5-19,Yes,Metro,40,30,40,50,40
549,1985,Female,Between 1 and 5 years,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,Yes,Regional,100,100,100,100,100
550,1978,Male,More than 5 years,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",20-199,Yes,Regional,10,10,10,10,10
551,1966,Male,More than 5 years,Public Administration and Safety,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Metro,100,100,90,90,90
552,1992,Male,Between 1 and 5 years,Manufacturing,Technicians and trades workers - Construction Trades Workers,1-4,Yes,Metro,20,10,10,20,10
553,1993,Male,Between 1 and 5 years,Financial and Insurance,Sales workers - Sales Assistants and Salespersons,20-199,Yes,Metro,40,40,40,30,30
554,1995,Female,Less than 1 year,Financial and Insurance,Technicians and trades workers - Electrotechnology and Telecommunications Trades Workers,More than 200,Yes,Metro,60,80,80,60,70
555,1965,Female,Between 1 and 5 years,Financial and Insurance,Clerical and administrative workers - Numerical Clerks,More than 200,No,Regional,100,100,50,80,80
556,1999,Female,Between 1 and 5 years,Information Media and Telecommunications,"Technicians and trades workers - Engineering, ICT and Science Technicians",20-199,No,Metro,50,30,50,60,5
557,1964,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - Clerical and Office Support Workers,5-19,Yes,Metro,5,10,5,10,10
558,1985,Female,Between 1 and 5 years,Education and Training,"Managers - Chief Executives, General Managers and Legislators",20-199,Yes,Metro,20,60,20,80,80
559,1985,Female,Between 1 and 5 years,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,No,Regional,100,100,100,100,100
560,1983,Male,Less than 1 year,"Professional, Scientific and Technical",Managers - Specialist Managers,20-199,Yes,Metro,100,100,60,100,100
561,1985,Male,Between 1 and 5 years,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",20-199,No,Metro,90,90,90,70,70
562,1978,Male,More than 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Metro,100,50,70,30,80
563,2000,Male,Less than 1 year,Information Media and Telecommunications,"Technicians and trades workers - Engineering, ICT and Science Technicians",More than 200,No,Regional,40,100,30,60,50
564,1997,Female,Between 1 and 5 years,Other Services,Managers - Specialist Managers,20-199,No,Metro,5,100,40,20,80
565,1989,Male,More than 5 years,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Metro,50,50,20,20,40
566,1982,Male,Between 1 and 5 years,Retail Trade,"Professionals - Legal, Social and Welfare Professionals",20-199,Yes,Regional,40,40,60,40,40
567,1992,Female,Between 1 and 5 years,Administrative and Support,Clerical and administrative workers - Office Managers and Program Administrators,20-199,No,Metro,100,100,90,80,70
568,1983,Male,Less than 1 year,Education and Training,Managers - Specialist Managers,20-199,Yes,Metro,60,100,60,100,100
569,1966,Male,More than 5 years,Public Administration and Safety,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Yes,Metro,100,100,90,90,80
570,1966,Male,More than 5 years,Manufacturing,Managers - Specialist Managers,20-199,No,Metro,0,20,10,30,20
571,1973,Female,More than 5 years,Manufacturing,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,Yes,Regional,0,100,0,100,100
572,1995,Female,Between 1 and 5 years,Information Media and Telecommunications,Clerical and administrative workers - Inquiry Clerks and Receptionists,20-199,Yes,Metro,40,60,40,70,30
573,1962,Male,More than 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",20-199,Yes,Metro,90,70,80,80,70
